"X1.Probability","X1.JC","X1.RP","X1.RedBlack"
0.298,0.0190000000000001,0.365,1
0.299,0.0170000000000001,0.365,1
0.3,0.0150000000000001,0.365,1
0.301,0.0130000000000001,0.365,1
0.302,0.0110000000000001,0.365,1
0.303,0.00900000000000012,0.365,1
0.304,0.00700000000000012,0.365,1
0.305,0.00500000000000012,0.365,1
0.306,0.00300000000000011,0.365,1
0.307,0.00100000000000011,0.365,1
