"X1.Fine","X1.JC","X1.RP","X1.RedBlack"
29.48,0.5898,0.190199999999999,1
29.58,0.5908,0.1892,1
29.68,0.5918,0.1882,1
29.78,0.5928,0.1872,1
29.88,0.5938,0.1862,1
29.98,0.5948,0.1852,1
30.08,0.5958,0.1842,1
30.18,0.5968,0.1832,1
30.28,0.5978,0.182199999999999,1
30.38,0.5988,0.1812,1
30.48,0.5998,0.1802,1
30.58,0.6008,0.1792,1
30.68,0.6018,0.178199999999999,1
30.78,0.6028,0.1772,1
30.88,0.6038,0.1762,1
30.98,0.6048,0.1752,1
31.08,0.6058,0.174199999999999,1
31.18,0.6068,0.1732,1
31.28,0.6078,0.1722,1
31.38,0.6088,0.1712,1
31.48,0.6098,0.170199999999999,1
31.58,0.6108,0.1692,1
31.68,0.6118,0.1682,1
31.78,0.6128,0.1672,1
31.88,0.6138,0.1662,1
31.98,0.6148,0.1652,1
32.08,0.6158,0.1642,1
32.18,0.6168,0.1632,1
32.28,0.6178,0.162199999999999,1
32.38,0.6188,0.1612,1
32.48,0.6198,0.1602,1
32.58,0.6208,0.1592,1
32.68,0.6218,0.158199999999999,1
32.78,0.6228,0.1572,1
32.88,0.6238,0.1562,1
32.98,0.6248,0.1552,1
33.08,0.6258,0.1542,1
33.18,0.6268,0.1532,1
33.28,0.6278,0.1522,1
33.38,0.6288,0.1512,1
33.48,0.6298,0.1502,1
33.58,0.6308,0.1492,1
33.68,0.6318,0.1482,1
33.78,0.6328,0.1472,1
33.88,0.6338,0.1462,1
33.98,0.6348,0.1452,1
34.08,0.6358,0.1442,1
34.18,0.6368,0.1432,1
34.28,0.6378,0.1422,1
34.38,0.6388,0.1412,1
34.48,0.6398,0.1402,1
34.58,0.6408,0.1392,1
34.68,0.6418,0.138199999999999,1
34.78,0.6428,0.1372,1
34.88,0.6438,0.1362,1
34.98,0.6448,0.1352,1
35.08,0.6458,0.1342,1
35.18,0.6468,0.1332,1
35.28,0.6478,0.1322,1
35.38,0.6488,0.1312,1
35.48,0.6498,0.1302,1
35.58,0.6508,0.1292,1
35.68,0.6518,0.1282,1
35.78,0.6528,0.1272,1
35.88,0.6538,0.1262,1
35.98,0.6548,0.1252,1
36.08,0.6558,0.1242,1
36.18,0.6568,0.1232,1
36.28,0.6578,0.1222,1
36.38,0.6588,0.1212,1
36.48,0.6598,0.1202,1
36.58,0.6608,0.1192,1
36.68,0.6618,0.118199999999999,1
36.78,0.6628,0.1172,1
36.88,0.6638,0.1162,1
36.98,0.6648,0.1152,1
37.08,0.6658,0.1142,1
37.18,0.6668,0.1132,1
37.28,0.6678,0.1122,1
37.38,0.6688,0.1112,1
37.48,0.6698,0.1102,1
37.58,0.6708,0.1092,1
37.68,0.6718,0.1082,1
37.78,0.6728,0.1072,1
37.88,0.6738,0.1062,1
37.98,0.6748,0.1052,1
38.08,0.6758,0.1042,1
38.18,0.6768,0.1032,1
38.28,0.6778,0.1022,1
38.38,0.6788,0.1012,1
38.48,0.6798,0.1002,1
38.58,0.6808,0.0991999999999995,1
38.68,0.6818,0.0981999999999994,1
38.78,0.6828,0.0971999999999995,1
38.88,0.6838,0.0961999999999996,1
38.98,0.6848,0.0951999999999995,1
39.08,0.6858,0.0941999999999996,1
39.18,0.6868,0.0931999999999995,1
39.28,0.6878,0.0921999999999996,1
39.38,0.6888,0.0911999999999995,1
39.48,0.6898,0.0901999999999996,1
39.58,0.6908,0.0891999999999995,1
39.68,0.6918,0.0881999999999996,1
39.78,0.6928,0.0871999999999995,1
39.88,0.6938,0.0861999999999996,1
39.98,0.6948,0.0851999999999995,1
40.08,0.6958,0.0841999999999996,1
40.18,0.6968,0.0831999999999995,1
40.28,0.6978,0.0821999999999996,1
40.38,0.6988,0.0811999999999995,1
40.48,0.6998,0.0801999999999996,1
40.58,0.7008,0.0791999999999995,1
40.68,0.7018,0.0781999999999994,1
40.78,0.7028,0.0771999999999995,1
40.88,0.7038,0.0761999999999996,1
40.98,0.7048,0.0751999999999995,1
41.08,0.7058,0.0741999999999996,1
41.18,0.7068,0.0731999999999995,1
41.28,0.7078,0.0721999999999996,1
41.38,0.7088,0.0711999999999995,1
41.48,0.7098,0.0701999999999996,1
41.58,0.7108,0.0691999999999995,1
41.68,0.7118,0.0681999999999996,1
41.78,0.7128,0.0671999999999995,1
41.88,0.7138,0.0661999999999996,1
41.98,0.7148,0.0651999999999995,1
42.08,0.7158,0.0641999999999996,1
42.18,0.7168,0.0631999999999995,1
42.28,0.7178,0.0621999999999996,1
42.38,0.7188,0.0611999999999995,1
42.48,0.7198,0.0601999999999996,1
42.58,0.7208,0.0591999999999995,1
42.68,0.7218,0.0581999999999994,1
42.78,0.7228,0.0571999999999995,1
42.88,0.7238,0.0561999999999996,1
42.98,0.7248,0.0551999999999995,1
43.08,0.7258,0.0541999999999996,1
43.18,0.7268,0.0531999999999995,1
43.28,0.7278,0.0521999999999996,1
43.38,0.7288,0.0511999999999995,1
43.48,0.7298,0.0501999999999996,1
43.58,0.7308,0.0491999999999995,1
43.68,0.7318,0.0481999999999996,1
43.78,0.7328,0.0471999999999995,1
43.88,0.7338,0.0461999999999996,1
43.98,0.7348,0.0451999999999995,1
44.08,0.7358,0.0441999999999996,1
44.18,0.7368,0.0431999999999995,1
44.28,0.7378,0.0421999999999996,1
44.38,0.7388,0.0411999999999995,1
44.48,0.7398,0.0401999999999996,1
44.58,0.7408,0.0391999999999995,1
44.68,0.7418,0.0381999999999993,1
44.78,0.7428,0.0371999999999995,1
44.88,0.7438,0.0361999999999996,1
44.98,0.7448,0.0351999999999995,1
45.08,0.7458,0.0341999999999996,1
45.18,0.7468,0.0331999999999995,1
45.28,0.7478,0.0321999999999996,1
45.38,0.7488,0.0311999999999995,1
45.48,0.7498,0.0301999999999996,1
45.58,0.7508,0.0291999999999994,1
45.68,0.7518,0.0281999999999996,1
45.78,0.7528,0.0271999999999994,1
45.88,0.7538,0.0261999999999996,1
45.98,0.7548,0.0251999999999994,1
46.08,0.7558,0.0241999999999996,1
46.18,0.7568,0.0231999999999994,1
46.28,0.7578,0.0221999999999996,1
46.38,0.7588,0.0211999999999994,1
46.48,0.7598,0.0201999999999996,1
46.58,0.7608,0.0191999999999994,1
46.68,0.7618,0.0181999999999993,1
46.78,0.7628,0.0171999999999994,1
46.88,0.7638,0.0161999999999995,1
46.98,0.7648,0.0151999999999994,1
47.08,0.7658,0.0141999999999995,1
47.18,0.7668,0.0131999999999994,1
47.28,0.7678,0.0121999999999995,1
47.38,0.7688,0.0111999999999994,1
47.48,0.7698,0.0101999999999995,1
47.58,0.7708,0.00919999999999943,1
47.68,0.7718,0.00819999999999954,1
47.78,0.7728,0.00719999999999943,1
47.88,0.7738,0.00619999999999954,1
47.98,0.7748,0.00519999999999943,1
48.08,0.7758,0.00419999999999954,1
48.18,0.7768,0.00319999999999943,1
48.28,0.7778,0.00219999999999954,1
48.38,0.7788,0.00119999999999942,1
48.48,0.7798,0.000199999999999534,1
