"X0.Fine","X0.JC","X0.RP","X0.RedBlack"
54.68,0.841800000000001,-0.0618000000000006,0
54.78,0.8428,-0.0628000000000005,0
54.88,0.843800000000001,-0.0638000000000005,0
54.98,0.8448,-0.0648000000000006,0
55.08,0.845800000000001,-0.0658000000000006,0
55.18,0.846800000000001,-0.0668000000000006,0
55.28,0.847800000000001,-0.0678000000000005,0
55.38,0.8488,-0.0688000000000005,0
55.48,0.849800000000001,-0.0698000000000006,0
55.58,0.850800000000001,-0.0708000000000006,0
55.68,0.851800000000001,-0.0718000000000006,0
55.78,0.8528,-0.0728000000000005,0
55.88,0.8538,-0.0738000000000005,0
55.98,0.854800000000001,-0.0748000000000006,0
56.08,0.855800000000001,-0.0758000000000006,0
56.18,0.8568,-0.0768000000000006,0
56.28,0.8578,-0.0778000000000005,0
56.38,0.8588,-0.0788000000000005,0
56.48,0.859800000000001,-0.0798000000000006,0
56.58,0.8608,-0.0808000000000006,0
56.68,0.861800000000001,-0.0818000000000006,0
56.78,0.8628,-0.0828000000000005,0
56.88,0.863800000000001,-0.0838000000000005,0
56.98,0.8648,-0.0848000000000007,0
57.08,0.865800000000001,-0.0858000000000007,0
57.18,0.866800000000001,-0.0868000000000007,0
57.28,0.867800000000001,-0.0878000000000005,0
57.38,0.8688,-0.0888000000000005,0
57.48,0.869800000000001,-0.0898000000000007,0
57.58,0.870800000000001,-0.0908000000000007,0
57.68,0.871800000000001,-0.0918000000000007,0
57.78,0.8728,-0.0928000000000005,0
57.88,0.8738,-0.0938000000000005,0
57.98,0.874800000000001,-0.0948000000000007,0
58.08,0.875800000000001,-0.0958000000000007,0
58.18,0.8768,-0.0968000000000007,0
58.28,0.8778,-0.0978000000000006,0
58.38,0.8788,-0.0988000000000006,0
58.48,0.879800000000001,-0.0998000000000007,0
58.58,0.8808,-0.100800000000001,0
58.68,0.881800000000001,-0.101800000000001,0
58.78,0.8828,-0.102800000000001,0
58.88,0.883800000000001,-0.103800000000001,0
